trait,layer,c,p_matching
sycophancy,12,0.0,0.9069
sycophancy,12,0.25,0.8986
sycophancy,12,0.5,0.8063
sycophancy,12,0.75,0.6442
sycophancy,12,1.0,0.5342
sycophancy,12,1.5,0.5455
sycophancy,12,2.0,0.5563
sycophancy,20,0.0,0.9069
sycophancy,20,0.25,0.9031
sycophancy,20,0.5,0.8926
sycophancy,20,0.75,0.8851
sycophancy,20,1.0,0.879
sycophancy,20,1.5,0.844
sycophancy,20,2.0,0.7366
neuroticism,12,0.0,0.4954
neuroticism,12,0.25,0.5327
neuroticism,12,0.5,0.7425
neuroticism,12,0.75,0.6239
neuroticism,12,1.0,0.5734
neuroticism,12,1.5,0.5261
neuroticism,12,2.0,0.5235
neuroticism,20,0.0,0.4954
neuroticism,20,0.25,0.4943
neuroticism,20,0.5,0.5045
neuroticism,20,0.75,0.5155
neuroticism,20,1.0,0.5148
neuroticism,20,1.5,0.4968
neuroticism,20,2.0,0.4902
yellow,12,0.0,0.5603
yellow,12,0.25,0.6046
yellow,12,0.5,0.6027
yellow,12,0.75,0.5362
yellow,12,1.0,0.4969
yellow,12,1.5,0.4696
yellow,12,2.0,0.4988
yellow,20,0.0,0.5603
yellow,20,0.25,0.5545
yellow,20,0.5,0.5504
yellow,20,0.75,0.5461
yellow,20,1.0,0.5384
yellow,20,1.5,0.5225
yellow,20,2.0,0.4931