trait,dir,mult,p_matching
sycophancy,probe,-64,0.8892
sycophancy,probe,-32,0.9024
sycophancy,probe,0,0.9069
sycophancy,probe,8,0.9055
sycophancy,probe,16,0.9042
sycophancy,probe,32,0.9009
sycophancy,probe,48,0.8978
sycophancy,probe,64,0.894
sycophancy,probe,96,0.883
sycophancy,probe,128,0.8544
sycophancy,probe,160,0.8197
sycophancy,md,-64,0.8339
sycophancy,md,-32,0.882
sycophancy,md,0,0.9069
sycophancy,md,8,0.9079
sycophancy,md,16,0.9043
sycophancy,md,32,0.8961
sycophancy,md,48,0.8899
sycophancy,md,64,0.8765
sycophancy,md,96,0.8581
sycophancy,md,128,0.7018
sycophancy,md,160,0.6086
neuroticism,probe,-64,0.4917
neuroticism,probe,-32,0.4917
neuroticism,probe,0,0.4954
neuroticism,probe,8,0.499
neuroticism,probe,16,0.5046
neuroticism,probe,32,0.5102
neuroticism,probe,48,0.5184
neuroticism,probe,64,0.5271
neuroticism,probe,96,0.5446
neuroticism,probe,128,0.5325
neuroticism,probe,160,0.4881
neuroticism,md,-64,0.4922
neuroticism,md,-32,0.493
neuroticism,md,0,0.4954
neuroticism,md,8,0.5038
neuroticism,md,16,0.5078
neuroticism,md,32,0.5185
neuroticism,md,48,0.5328
neuroticism,md,64,0.5408
neuroticism,md,96,0.4831
neuroticism,md,128,0.4733
neuroticism,md,160,0.4733
yellow,probe,-64,0.5683
yellow,probe,-32,0.5594
yellow,probe,0,0.5603
yellow,probe,8,0.5602
yellow,probe,16,0.5604
yellow,probe,32,0.5605
yellow,probe,48,0.5591
yellow,probe,64,0.5569
yellow,probe,96,0.5486
yellow,probe,128,0.5356
yellow,probe,160,0.5179
yellow,md,-64,0.55
yellow,md,-32,0.5577
yellow,md,0,0.5603
yellow,md,8,0.5578
yellow,md,16,0.5567
yellow,md,32,0.5526
yellow,md,48,0.5485
yellow,md,64,0.5473
yellow,md,96,0.5439
yellow,md,128,0.4878
yellow,md,160,0.4707